"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","116","Missing required field is rejected","tests.api","2026-08-19","passed","2026-08-19","","test_signup_api","",""
"","658","Create account with only required fields succeeds","tests.api","2026-08-19","passed","2026-08-19","","test_signup_api","",""
"","1728","Full signup happy path logs the user in","tests.ui","2026-08-19","passed","2026-08-19","","test_signup","",""
"Verify that a Home Page can be opened","7","Home Page opening","tests.ui","2026-08-19","passed","2026-08-19","","test_home_page","",""
"","237","Duplicate email is rejected on signup","tests.api","2026-08-19","passed","2026-08-19","","test_signup_api","",""
"","235","Login fails with invalid credentials: nobody-here@example.com","tests.ui","2026-08-19","passed","2026-08-19","","test_login","",""
"","690","Login succeeds with valid credentials","tests.ui","2026-08-19","passed","2026-08-19","","test_login","",""
"","246","Login fails with invalid credentials: test_34543@gmail.com","tests.ui","2026-08-19","passed","2026-08-19","","test_login","",""
"","240","Signup entry carries name/email into the account form","tests.ui","2026-08-19","passed","2026-08-19","","test_signup","",""
"","340","Duplicate email blocks navigation from the login page's signup form","tests.ui","2026-08-19","passed","2026-08-19","","test_signup","",""
"","263","Login fails with invalid credentials: wrong@example.com","tests.ui","2026-08-19","passed","2026-08-19","","test_login","",""
